Country_Region,Population_Size,Tourism,Date_FirstFatality,Date_FirstConfirmedCase,Latitude,Longtitude,Mean_Age,Lockdown_Date,Lockdown_Type,Country_Code
Philippines,106651922,7168000,2/3/2020,1/31/2020,12.879721,121.774017,24.1,3/16/2020,Partial,PHL
Poland,37974750,19622000,3/13/2020,3/5/2020,51.919438,19.145136,39.7,3/12/2020,Full,POL
Portugal,10283822,16186000,3/18/2020,3/3/2020,39.399872,-8.224454,43.9,3/18/2020,Full,PRT
Qatar,2781677,1819300,3/29/2020,3/1/2020,25.354826,51.183884,31.3,3/11/2020,Full,QAT
Romania,19466145,11720000,3/23/2020,2/27/2020,45.943161,24.96676,41.3,3/25/2020,Full,ROU
Russia,144478050,24551000,3/20/2020,2/1/2020,61.52401,105.318756,38.7,3/27/2020,Full,RUS
Rwanda,12301939,14000,,3/15/2020,-1.940278,29.873888,19.4,3/16/2020,Full,RWA
Saint Kitts and Nevis,52441,14000,,3/26/2020,17.357822,-62.782998,37,3/31/2020,Full,KNA
Saint Lucia,181889,14000,,3/15/2020,13.909444,-60.978893,32.6,3/20/2020,Full,LCA
Saint Vincent and the Grenadines,110210,14000,,3/15/2020,12.984305,-61.287228,29.8,,,VCT
San Marino,33785,84000,3/4/2020,2/28/2020,43.94236,12.457777,37,3/9/2020,Full,SMR
Sao Tome and Principe,211028,33400,,4/7/2020,0.1864,6.6131,18.1,,,STP
Saudi Arabia,33699947,15334000,3/25/2020,3/3/2020,23.885942,45.079162,29.8,3/15/2020,Full,SAU
Senegal,15854360,14000,4/2/2020,3/3/2020,14.497401,-14.452362,18.3,3/24/2020,Partial,SEN
Serbia,6982604,1711000,3/21/2020,3/7/2020,44.016521,21.005859,40,3/15/2020,Full,SRB
Seychelles,96762,362000,,3/15/2020,-4.679574,55.491977,34.6,4/9/2020,Full,SYC
Sierra Leone,7650154,57000,4/24/2020,4/1/2020,8.460555,-11.779889,18.3,5/5/2020,Full,SLE
Singapore,5638676,14673000,3/22/2020,1/24/2020,1.352083,103.819836,40,3/26/2020,Partial,SGP
Slovakia,5450000,14000,3/19/2020,3/7/2020,48.669026,19.699024,39.2,3/9/2020,Full,SVK
Slovenia,2073894,4425000,3/15/2020,3/6/2020,46.151241,14.995463,43,3/11/2020,Full,SVN
Somalia,15008154,14000,4/9/2020,3/17/2020,5.152149,46.199616,16.5,3/19/2020,Full,SOM
South Africa,57779622,10472000,3/28/2020,3/6/2020,-30.559482,22.937506,26.1,3/26/2020,Full,ZAF
South Sudan,10975920,14000,,4/6/2020,6.877,31.307,18.6,3/24/2020,Partial,SSD
Spain,46796540,82773000,3/4/2020,2/2/2020,40.463667,-3.74922,43.2,3/14/2020,Full,ESP
Sri Lanka,21670000,2334000,3/29/2020,1/28/2020,7.873054,80.771797,32.3,3/21/2020,Full,LKA
Sudan,41801533,836000,3/14/2020,3/14/2020,12.862807,30.217636,18.9,3/24/2020,Partial,SDN
Suriname,575991,14000,4/4/2020,3/15/2020,3.919305,-56.027783,28.4,,,SUR
Sweden,10175214,7440000,3/12/2020,2/1/2020,60.128161,18.643501,40.9,,,SWE
Switzerland,8513227,10362000,3/6/2020,2/26/2020,46.818188,8.227512,42.2,3/18/2020,Full,CHE
Syria,16906283,14000,3/30/2020,3/23/2020,34.802075,38.996815,37,,,SYR
Taiwan*,23780000,14000,2/17/2020,1/23/2020,23.6978,120.9605,37,,,TWN
Tanzania,56318348,1378000,4/1/2020,3/17/2020,-6.369028,34.888822,37,,,TZA
Thailand,69428524,38178000,3/2/2020,1/23/2020,15.870032,100.992541,37.8,3/22/2020,Partial,THA
Timor-Leste,1267972,75000,,3/23/2020,-8.874217,125.727539,17.4,3/28/2020,Full,TLS
Togo,7889094,573000,3/28/2020,3/7/2020,8.619543,0.824782,18.9,3/20/2020,Partial,TGO
Trinidad and Tobago,1389858,375000,3/26/2020,3/15/2020,10.691803,-61.222503,33.9,3/13/2020,Full,TTO
Tunisia,11565204,8299000,3/20/2020,3/5/2020,33.886917,9.537499,31.1,3/20/2020,Full,TUN
Turkey,82319724,45768000,3/18/2020,3/12/2020,38.963745,35.243322,29.9,3/23/2020,Full,TUR
US,326687501,79745920,3/10/2020,3/10/2020,37.09024,-95.712891,37.6,3/23/2020,Partial,USA
Uganda,42723139,14000,,3/22/2020,1.373333,32.290275,15.8,3/18/2020,Full,UGA
Ukraine,44622516,14104000,3/14/2020,3/4/2020,48.379433,31.16558,40.3,3/17/2020,Full,UKR
United Arab Emirates,9630959,21286000,3/21/2020,1/30/2020,23.424076,53.847818,33.4,3/24/2020,Full,ARE
United Kingdom,66460344,36316000,3/6/2020,2/1/2020,55.378051,-3.435973,40.2,3/23/2020,Full,GBR
Uruguay,3449299,3469000,3/30/2020,3/15/2020,-32.522779,-55.765835,34.9,3/16/2020,Full,URY
Uzbekistan,32955400,5346000,3/28/2020,3/16/2020,41.377491,64.585262,26.3,3/20/2020,Partial,UZB
Venezuela,28870000,14000,3/28/2020,3/15/2020,6.42375,-66.58973,37,3/16/2020,Full,VEN
Vietnam,95540395,15498000,,1/24/2020,14.058324,108.277199,37,3/19/2020,Full,VNM
West Bank and Gaza,4569087,606000,3/27/2020,3/6/2020,31.9466,35.3027,37,4/9/2020,Full,PSE
Western Sahara,500000,14000,,4/6/2020,24.215527,-12.885834,26.8,3/20/2020,Full,ESH
Zambia,17351822,1072000,4/3/2020,3/19/2020,-13.133897,27.849332,17.1,,,ZMB
Zimbabwe,14439018,2580000,3/24/2020,3/21/2020,-19.015438,29.154857,19,3/30/2020,Full,ZWE
